"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"360","Indonesia","000"," World",2008,207361000,,0,2,5,"","Fatty livers of ducks, geese or guinea fowls, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207369000,,0,2,5,"","Oth cut & offal of ducks, geese/guinea fowls, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208100000,,0,2,5,"","Meat and edible offal of rabbits or hares, fresh, chilled or frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208300000,,0,2,5,"","Meat and edible offal of primates, fresh, chilled or frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208400000,,0,2,5,"","Meat&edible offal of whales,dolphin&porp manatees & dugong,fresh,chilled/frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208500000,,0,2,5,"","Meat&edible offal of reptile(incl.snake & turtles), fresh, chilled or frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208900010,,0,2,5,"","Frogs legs ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,208900090,,0,2,5,"","Oth meat & edible offal, fresh, chilled or frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,2.09e+08,,0,2,5,"","Pig fat free of lean meat & poultry fat, fresh,chilled,frozen,salted,dried/smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210110000,,0,2,5,"","Ham,shoulder, cut thereof, with bone in of swine, salted, in brine, dried/smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210120000,,0,2,5,"","Bellies/streaky & cuts thereof, bone in of swine, salted, in brine, dried/smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210191000,,0,2,5,"","Bacon of swine, salted, in brine, dried or smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210192000,,0,2,5,"","Ham of swine, boneless, salted,in brine dried or smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210199000,,0,2,5,"","Other of swine, salted, in brine, dried or smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210200000,,0,2,5,"","Meat of bovine animals, salted,in brine dried or smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210910000,,0,2,5,"","Meat & edible, incl.flour & meal, of primates, salted, in brine, dried/smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210920000,,0,2,5,"","Meat & edible,incl flour,meal,of whale dolphin,etc, salt,in brine, dried/smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210930000,,0,2,5,"","Meat&edible,incl.flour & meal,of reptil inc.snake&turtle,salt,in brine,dry/smoke","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210991000,,0,2,5,"","Freeze cried chicken dice ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210992000,,0,2,5,"","Dried pork skin ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,210999000,,0,2,5,"","Oth meat & edible, incl. frours & meals salted, in brine, dried or smoked","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301101000,,0,2,0,"","Ornamental fish fry, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301102000,,0,2,5,"","Ornamental marine fish, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301103000,,0,2,5,"","Freshwater ornamental fish, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301910000,,0,2,0,"","Trout (salmo trutta,oncorhynchus mykiss /clarki/aguabonita/gilae/apache), live","MFN applied duty rates","A",,""
